"filename", "language", "Go", "Go Checksum File", "Protocol Buffers", "Go Template File", "Go Module File", "comment", "blank", "total"
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/disks.go", "Go", 696, 0, 0, 0, 0, 0, 79, 775
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/enums.go", "Go", 1221, 0, 0, 0, 0, 0, 173, 1394
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/galleries.go", "Go", 520, 0, 0, 0, 0, 0, 61, 581
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/galleryapplications.go", "Go", 436, 0, 0, 0, 0, 0, 50, 486
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/galleryapplicationversions.go", "Go", 464, 0, 0, 0, 0, 0, 51, 515
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/galleryimages.go", "Go", 442, 0, 0, 0, 0, 0, 51, 493
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/galleryimageversions.go", "Go", 453, 0, 0, 0, 0, 0, 51, 504
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/images.go", "Go", 523, 0, 0, 0, 0, 0, 61, 584
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/loganalytics.go", "Go", 183, 0, 0, 0, 0, 0, 24, 207
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/models.go", "Go", 14279, 0, 0, 0, 0, 0, 1222, 15501
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/operations.go", "Go", 85, 0, 0, 0, 0, 0, 14, 99
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/proximityplacementgroups.go", "Go", 512, 0, 0, 0, 0, 0, 64, 576
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/resourceskus.go", "Go", 133, 0, 0, 0, 0, 0, 17, 150
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/snapshots.go", "Go", 689, 0, 0, 0, 0, 0, 79, 768
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/sshpublickeys.go", "Go", 577, 0, 0, 0, 0, 0, 73, 650
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/usage.go", "Go", 138, 0, 0, 0, 0, 0, 18, 156
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/version.go", "Go", 15, 0, 0, 0, 0, 0, 5, 20
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachineextensionimages.go", "Go", 238, 0, 0, 0, 0, 0, 33, 271
"/opt/projects/swiftkube/vendor/github.com/Azure/azure-sdk-for-go/services/compute/mgmt/2019-12-01/compute/virtualmachineextensions.go", "Go", 395, 0, 0, 0, 0, 0, 48, 443
